,date,time,open,high,low,close,volume
0,20220103,153000,3975,3975,3975,3975,2
1,20220103,143000,3945,3945,3945,3945,330
2,20220103,133000,3945,3945,3945,3945,1251
3,20220103,130000,3975,3975,3975,3975,3
4,20220103,123000,3950,3950,3950,3950,50
5,20220103,120000,3960,3960,3960,3960,3
6,20220103,110000,3995,3995,3995,3995,800
7,20220103,103000,3950,3950,3950,3950,224
8,20220103,100000,3945,3945,3945,3945,37
9,20211230,153000,3945,3945,3945,3945,62
10,20211230,150000,3935,3935,3935,3935,40
11,20211230,143000,3945,3945,3945,3945,40
12,20211230,140000,3945,3945,3945,3945,100
13,20211230,133000,3935,3935,3935,3935,9
14,20211230,130000,3930,3930,3930,3930,92
15,20211230,123000,3945,3945,3945,3945,220
16,20211230,120000,3930,3930,3930,3930,1466
17,20211230,113000,3930,3930,3930,3930,1050
18,20211230,110000,3930,3930,3930,3930,84
19,20211230,103000,3940,3940,3940,3940,465
20,20211230,100000,3945,3945,3945,3945,181
21,20211230,93000,4000,4000,4000,4000,182
22,20211230,90000,4000,4000,4000,4000,394
23,20211229,153000,3935,3935,3935,3935,48
24,20211229,150000,3920,3920,3920,3920,700
25,20211229,143000,3920,3920,3920,3920,860
26,20211229,140000,3960,3960,3960,3960,274
27,20211229,133000,3960,3960,3960,3960,7
28,20211229,130000,3960,3960,3960,3960,114
29,20211229,123000,3970,3970,3970,3970,152
30,20211229,120000,3970,3970,3970,3970,2
31,20211229,113000,3970,3970,3970,3970,250
32,20211229,110000,3970,3970,3970,3970,100
33,20211229,103000,3970,3970,3970,3970,95
34,20211229,100000,3970,3970,3970,3970,25
35,20211229,93000,3970,3970,3970,3970,50
36,20211229,90000,3990,3990,3990,3990,1
37,20211228,153000,3975,3975,3975,3975,536
38,20211228,143000,3965,3965,3965,3965,330
39,20211228,140000,3970,3970,3970,3970,10
40,20211228,130000,3960,3960,3960,3960,745
41,20211228,123000,3960,3960,3960,3960,10
42,20211228,120000,3960,3960,3960,3960,30
43,20211228,113000,3950,3950,3950,3950,700
44,20211228,110000,3950,3950,3950,3950,640
45,20211228,103000,3950,3950,3950,3950,1340
46,20211228,100000,3960,3960,3960,3960,800
47,20211228,93000,3980,3980,3980,3980,500
48,20211228,90000,4100,4100,4100,4100,154
49,20211227,153000,3980,3980,3980,3980,243
50,20211227,150000,3940,3940,3940,3940,60
51,20211227,143000,3940,3940,3940,3940,245
52,20211227,140000,3940,3940,3940,3940,450
53,20211227,133000,3950,3950,3950,3950,327
54,20211227,130000,4030,4030,4030,4030,182
55,20211227,123000,4040,4040,4040,4040,126
56,20211227,120000,4030,4030,4030,4030,348
57,20211227,113000,4050,4050,4050,4050,339
58,20211227,110000,4030,4030,4030,4030,6
59,20211227,103000,3980,3980,3980,3980,100
60,20211227,100000,4060,4060,4060,4060,259
61,20211227,93000,4060,4060,4060,4060,123
62,20211227,90000,4090,4090,4090,4090,104
63,20211224,153000,3985,3985,3985,3985,900
64,20211224,150000,3990,3990,3990,3990,1064
65,20211224,143000,3990,3990,3990,3990,100
66,20211224,140000,3990,3990,3990,3990,201
67,20211224,133000,3990,3990,3990,3990,426
68,20211224,130000,3990,3990,3990,3990,65
69,20211224,123000,3990,3990,3990,3990,70
70,20211224,120000,3990,3990,3990,3990,365
71,20211224,113000,3995,3995,3995,3995,45
72,20211224,103000,4000,4000,4000,4000,400
73,20211224,100000,4010,4010,4010,4010,3
74,20211224,90000,4010,4010,4010,4010,1
75,20211223,153000,4000,4000,4000,4000,702
76,20211223,150000,4000,4000,4000,4000,33
77,20211223,143000,3995,3995,3995,3995,12
78,20211223,140000,4000,4000,4000,4000,10
79,20211223,133000,4000,4000,4000,4000,500
80,20211223,130000,4000,4000,4000,4000,50
81,20211223,123000,3995,3995,3995,3995,100
82,20211223,120000,4000,4000,4000,4000,11
83,20211223,113000,4000,4000,4000,4000,20
84,20211223,110000,4000,4000,4000,4000,25
85,20211223,103000,3990,3990,3990,3990,373
86,20211223,100000,3990,3990,3990,3990,1000
87,20211223,93000,3995,3995,3995,3995,508
88,20211223,90000,3995,3995,3995,3995,401
89,20211222,153500,4055,4055,4055,4055,7
90,20211222,153000,4055,4055,4055,4055,100
91,20211222,150000,4055,4055,4055,4055,15
92,20211222,143000,4055,4055,4055,4055,69
93,20211222,140000,4050,4050,4050,4050,93
94,20211222,133000,4025,4025,4025,4025,100
95,20211222,130000,4010,4010,4010,4010,462
96,20211222,123000,4005,4005,4005,4005,1444
97,20211222,120000,4020,4020,4020,4020,780
98,20211222,113000,4030,4030,4030,4030,588
99,20211222,110000,4050,4050,4050,4050,185
100,20211222,103000,4050,4050,4050,4050,706
101,20211222,100000,4050,4050,4050,4050,399
102,20211222,93000,4110,4110,4110,4110,114
103,20211222,90000,4130,4130,4130,4130,76
104,20211221,153500,4080,4080,4080,4080,50
105,20211221,153000,4080,4080,4080,4080,540
106,20211221,150000,4080,4080,4080,4080,100
107,20211221,143000,4100,4100,4100,4100,506
108,20211221,140000,4100,4100,4100,4100,39
109,20211221,133000,4040,4040,4040,4040,2671
110,20211221,130000,4025,4025,4025,4025,545
111,20211221,123000,4190,4190,4190,4190,2
112,20211221,113000,4195,4195,4195,4195,5
113,20211221,110000,4195,4195,4195,4195,20
114,20211221,103000,4200,4200,4200,4200,20
115,20211221,100000,4200,4200,4200,4200,5
116,20211221,90000,4270,4270,4270,4270,1
117,20211220,153000,4270,4270,4270,4270,260
118,20211220,140000,4110,4110,4110,4110,446
119,20211220,133000,4140,4140,4140,4140,492
120,20211220,130000,4140,4140,4140,4140,562
121,20211220,123000,4250,4250,4250,4250,2
122,20211220,103000,4290,4290,4290,4290,3000
123,20211220,100000,4290,4290,4290,4290,21
124,20211220,93000,4290,4290,4290,4290,30
125,20211220,90000,4390,4390,4390,4390,31
126,20211217,153000,4290,4290,4290,4290,594
127,20211217,150000,4310,4310,4310,4310,1234
128,20211217,143000,4320,4320,4320,4320,111
129,20211217,140000,4310,4310,4310,4310,1000
130,20211217,130000,4325,4325,4325,4325,100
131,20211217,113000,4325,4325,4325,4325,1
132,20211217,103000,4310,4310,4310,4310,352
133,20211217,100000,4300,4300,4300,4300,108
134,20211217,93000,4300,4300,4300,4300,175
135,20211217,90000,4290,4290,4290,4290,15
136,20211216,153000,4320,4320,4320,4320,238
137,20211216,150000,4195,4195,4195,4195,3
138,20211216,143000,4180,4180,4180,4180,1
139,20211216,140000,4175,4175,4175,4175,120
140,20211216,133000,4165,4165,4165,4165,162
141,20211216,130000,4165,4165,4165,4165,534
142,20211216,123000,4170,4170,4170,4170,138
143,20211216,120000,4190,4190,4190,4190,1
144,20211216,113000,4195,4195,4195,4195,10
145,20211216,103000,4175,4175,4175,4175,22
146,20211216,100000,4170,4170,4170,4170,455
147,20211216,93000,4200,4200,4200,4200,382
148,20211216,90000,4440,4440,4440,4440,690
149,20211215,150000,4335,4335,4335,4335,19
150,20211215,143000,4340,4340,4340,4340,51
151,20211215,140000,4340,4340,4340,4340,672
